termname	OR	FET_p	lower_or95	upper_or95	log2or	log2lower95	log2upper95	Q	T	QT	domainsize	tgroup	tgrouprep	tdepth	deepestterm	shallowestterm	Q&T list
cytokine secretion	8.58802336	1.22E-05	3.470423404	18.55011544	3.102326115	1.795111687	4.21335626	111	74	8	7481	5	1	1	1	1	"ENSFDAG00000004439,ENSFDAG00000006589,ENSFDAG00000008870,ENSFDAG00000011628,ENSFDAG00000014980,ENSFDAG00000015459,ENSFDAG00000017272,ENSFDAG00000018555"
response to stimulus	2.38773007	8.31E-06	1.608937244	3.562916686	1.255639751	0.686108055	1.833058748	111	2677	63	7481	2	0	1	0	1	"ENSFDAG00000000809,ENSFDAG00000001112,ENSFDAG00000001690,ENSFDAG00000003642,ENSFDAG00000004439,ENSFDAG00000005587,ENSFDAG00000005603,ENSFDAG00000006280,ENSFDAG00000006589,ENSFDAG00000006648,ENSFDAG00000007107,ENSFDAG00000007481,ENSFDAG00000007533,ENSFDAG00000007619,ENSFDAG00000007636,ENSFDAG00000008070,ENSFDAG00000008203,ENSFDAG00000008459,ENSFDAG00000008870,ENSFDAG00000009326,ENSFDAG00000009919,ENSFDAG00000010237,ENSFDAG00000010738,ENSFDAG00000010928,ENSFDAG00000011628,ENSFDAG00000012093,ENSFDAG00000012137,ENSFDAG00000012430,ENSFDAG00000012514,ENSFDAG00000012764,ENSFDAG00000013023,ENSFDAG00000014017,ENSFDAG00000014066,ENSFDAG00000014218,ENSFDAG00000014241,ENSFDAG00000014643,ENSFDAG00000014736,ENSFDAG00000014832,ENSFDAG00000014980,ENSFDAG00000015057,ENSFDAG00000015372,ENSFDAG00000015459,ENSFDAG00000015467,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000015727,ENSFDAG00000015868,ENSFDAG00000016112,ENSFDAG00000016403,ENSFDAG00000016821,ENSFDAG00000016970,ENSFDAG00000017272,ENSFDAG00000017609,ENSFDAG00000017834,ENSFDAG00000018059,ENSFDAG00000018555,ENSFDAG00000018746,ENSFDAG00000018795,ENSFDAG00000018950,ENSFDAG00000020792,ENSFDAG00000020835,ENSFDAG00000021344,ENSFDAG00000021370"
response to chemical	2.633761404	5.64E-06	1.727846839	3.962325064	1.397124656	0.788975339	1.986347242	111	1296	39	7481	2	0	2	0	0	"ENSFDAG00000001690,ENSFDAG00000003642,ENSFDAG00000005587,ENSFDAG00000006280,ENSFDAG00000006589,ENSFDAG00000007481,ENSFDAG00000008070,ENSFDAG00000008459,ENSFDAG00000008870,ENSFDAG00000009326,ENSFDAG00000010237,ENSFDAG00000011628,ENSFDAG00000012093,ENSFDAG00000012137,ENSFDAG00000012514,ENSFDAG00000012764,ENSFDAG00000014017,ENSFDAG00000014643,ENSFDAG00000014980,ENSFDAG00000015057,ENSFDAG00000015372,ENSFDAG00000015459,ENSFDAG00000015467,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000015727,ENSFDAG00000015868,ENSFDAG00000016403,ENSFDAG00000016821,ENSFDAG00000016970,ENSFDAG00000017272,ENSFDAG00000017609,ENSFDAG00000018059,ENSFDAG00000018555,ENSFDAG00000018746,ENSFDAG00000018795,ENSFDAG00000018950,ENSFDAG00000020792,ENSFDAG00000021370"
cellular response to chemical stimulus	2.926189099	1.25E-06	1.891518423	4.44955388	1.549023004	0.919544828	2.153660696	111	1037	35	7481	2	0	3	0	0	"ENSFDAG00000001690,ENSFDAG00000003642,ENSFDAG00000005587,ENSFDAG00000006280,ENSFDAG00000006589,ENSFDAG00000007481,ENSFDAG00000008070,ENSFDAG00000008459,ENSFDAG00000009326,ENSFDAG00000010237,ENSFDAG00000011628,ENSFDAG00000012093,ENSFDAG00000012137,ENSFDAG00000012514,ENSFDAG00000012764,ENSFDAG00000014017,ENSFDAG00000014643,ENSFDAG00000014980,ENSFDAG00000015057,ENSFDAG00000015459,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000015727,ENSFDAG00000015868,ENSFDAG00000016403,ENSFDAG00000016821,ENSFDAG00000016970,ENSFDAG00000017272,ENSFDAG00000017609,ENSFDAG00000018059,ENSFDAG00000018746,ENSFDAG00000018795,ENSFDAG00000018950,ENSFDAG00000020792,ENSFDAG00000021370"
response to external stimulus	4.110770677	6.74E-09	2.587234666	6.378791827	2.039408892	1.371410915	2.673283197	111	639	30	7481	2	0	2	0	0	"ENSFDAG00000003642,ENSFDAG00000004439,ENSFDAG00000005603,ENSFDAG00000006280,ENSFDAG00000006589,ENSFDAG00000006648,ENSFDAG00000007481,ENSFDAG00000008459,ENSFDAG00000008870,ENSFDAG00000009326,ENSFDAG00000010237,ENSFDAG00000011628,ENSFDAG00000012093,ENSFDAG00000012764,ENSFDAG00000014017,ENSFDAG00000014241,ENSFDAG00000014980,ENSFDAG00000015057,ENSFDAG00000015372,ENSFDAG00000015459,ENSFDAG00000015517,ENSFDAG00000015868,ENSFDAG00000016970,ENSFDAG00000017272,ENSFDAG00000017609,ENSFDAG00000018555,ENSFDAG00000018746,ENSFDAG00000018795,ENSFDAG00000020792,ENSFDAG00000021370"
taxis	5.45859829	8.12E-06	2.673602138	10.23205393	2.44853053	1.418784792	3.355023868	111	172	12	7481	2	0	3	0	0	"ENSFDAG00000003642,ENSFDAG00000006589,ENSFDAG00000008459,ENSFDAG00000010237,ENSFDAG00000012764,ENSFDAG00000014017,ENSFDAG00000015517,ENSFDAG00000017272,ENSFDAG00000017609,ENSFDAG00000018746,ENSFDAG00000018795,ENSFDAG00000020792"
chemotaxis	5.493499437	7.65E-06	2.690456883	10.29854559	2.457725459	1.427851186	3.364368703	111	171	12	7481	2	1	4	1	0	"ENSFDAG00000003642,ENSFDAG00000006589,ENSFDAG00000008459,ENSFDAG00000010237,ENSFDAG00000012764,ENSFDAG00000014017,ENSFDAG00000015517,ENSFDAG00000017272,ENSFDAG00000017609,ENSFDAG00000018746,ENSFDAG00000018795,ENSFDAG00000020792"
response to biotic stimulus	4.171417475	1.52E-05	2.216660946	7.351605054	2.060537704	1.148388116	2.878059264	111	281	15	7481	2	0	2	0	0	"ENSFDAG00000004439,ENSFDAG00000005603,ENSFDAG00000006280,ENSFDAG00000006648,ENSFDAG00000007481,ENSFDAG00000011628,ENSFDAG00000012093,ENSFDAG00000014241,ENSFDAG00000014980,ENSFDAG00000015057,ENSFDAG00000015372,ENSFDAG00000015459,ENSFDAG00000016970,ENSFDAG00000018555,ENSFDAG00000021370"
response to external biotic stimulus	4.485274083	6.84E-06	2.381285273	7.914290544	2.165196147	1.251740463	2.984460029	111	263	15	7481	2	0	3	0	0	"ENSFDAG00000004439,ENSFDAG00000005603,ENSFDAG00000006280,ENSFDAG00000006648,ENSFDAG00000007481,ENSFDAG00000011628,ENSFDAG00000012093,ENSFDAG00000014241,ENSFDAG00000014980,ENSFDAG00000015057,ENSFDAG00000015372,ENSFDAG00000015459,ENSFDAG00000016970,ENSFDAG00000018555,ENSFDAG00000021370"
response to other organism	4.503897781	6.53E-06	2.391118237	7.947996506	2.171174085	1.257685471	2.990591238	111	262	15	7481	2	0	4	1	0	"ENSFDAG00000004439,ENSFDAG00000005603,ENSFDAG00000006280,ENSFDAG00000006648,ENSFDAG00000007481,ENSFDAG00000011628,ENSFDAG00000012093,ENSFDAG00000014241,ENSFDAG00000014980,ENSFDAG00000015057,ENSFDAG00000015372,ENSFDAG00000015459,ENSFDAG00000016970,ENSFDAG00000018555,ENSFDAG00000021370"
immune system process	5.089683976	1.13E-13	3.35779497	7.635459619	2.347576081	1.747514141	2.932715003	111	829	42	7481	2	0	1	0	1	"ENSFDAG00000000040,ENSFDAG00000000809,ENSFDAG00000001690,ENSFDAG00000003642,ENSFDAG00000004439,ENSFDAG00000005603,ENSFDAG00000005799,ENSFDAG00000006589,ENSFDAG00000007107,ENSFDAG00000007481,ENSFDAG00000007563,ENSFDAG00000007619,ENSFDAG00000008203,ENSFDAG00000008459,ENSFDAG00000009315,ENSFDAG00000009611,ENSFDAG00000009629,ENSFDAG00000009919,ENSFDAG00000010237,ENSFDAG00000011628,ENSFDAG00000012093,ENSFDAG00000013023,ENSFDAG00000014017,ENSFDAG00000014066,ENSFDAG00000014218,ENSFDAG00000014643,ENSFDAG00000014832,ENSFDAG00000014980,ENSFDAG00000015057,ENSFDAG00000015459,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000016112,ENSFDAG00000016821,ENSFDAG00000016970,ENSFDAG00000017272,ENSFDAG00000017609,ENSFDAG00000017834,ENSFDAG00000018555,ENSFDAG00000018746,ENSFDAG00000018795,ENSFDAG00000021370"
immune effector process	4.894992528	5.23E-06	2.537417697	8.793124497	2.291306658	1.343361028	3.136375895	111	225	14	7481	2	0	2	0	0	"ENSFDAG00000004439,ENSFDAG00000007481,ENSFDAG00000009629,ENSFDAG00000009919,ENSFDAG00000010237,ENSFDAG00000011628,ENSFDAG00000013023,ENSFDAG00000014218,ENSFDAG00000014980,ENSFDAG00000015459,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000016112,ENSFDAG00000021370"
immune response	5.860848847	2.63E-11	3.60595885	9.264503566	2.55110963	1.850382933	3.211713672	111	410	27	7481	2	0	2	0	0	"ENSFDAG00000001690,ENSFDAG00000003642,ENSFDAG00000004439,ENSFDAG00000005603,ENSFDAG00000006589,ENSFDAG00000007107,ENSFDAG00000007481,ENSFDAG00000007619,ENSFDAG00000008203,ENSFDAG00000008459,ENSFDAG00000009919,ENSFDAG00000010237,ENSFDAG00000011628,ENSFDAG00000012093,ENSFDAG00000013023,ENSFDAG00000014066,ENSFDAG00000014218,ENSFDAG00000014832,ENSFDAG00000014980,ENSFDAG00000015459,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000016112,ENSFDAG00000016970,ENSFDAG00000018555,ENSFDAG00000018795,ENSFDAG00000021370"
cell activation involved in immune response	7.740972495	7.82E-06	3.327263761	15.9865542	2.952514823	1.734336237	3.998787104	111	92	9	7481	2	0	3	0	0	"ENSFDAG00000004439,ENSFDAG00000009919,ENSFDAG00000010237,ENSFDAG00000013023,ENSFDAG00000015459,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000016112,ENSFDAG00000021370"
leukocyte activation involved in immune response	8.034094141	5.94E-06	3.44924309	16.62062558	3.006135366	1.786279808	4.054902779	111	89	9	7481	2	0	4	1	0	"ENSFDAG00000004439,ENSFDAG00000009919,ENSFDAG00000010237,ENSFDAG00000013023,ENSFDAG00000015459,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000016112,ENSFDAG00000021370"
regulation of immune system process	4.295538151	3.53E-08	2.609252561	6.849717723	2.102838885	1.383636596	2.776044536	111	492	25	7481	2	0	2	0	0	"ENSFDAG00000003642,ENSFDAG00000004439,ENSFDAG00000007107,ENSFDAG00000007481,ENSFDAG00000007563,ENSFDAG00000009629,ENSFDAG00000010237,ENSFDAG00000011628,ENSFDAG00000013023,ENSFDAG00000014017,ENSFDAG00000014066,ENSFDAG00000014218,ENSFDAG00000014643,ENSFDAG00000014980,ENSFDAG00000015057,ENSFDAG00000015459,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000016821,ENSFDAG00000017609,ENSFDAG00000017834,ENSFDAG00000018555,ENSFDAG00000018746,ENSFDAG00000018795,ENSFDAG00000021370"
positive regulation of immune system process	4.207583281	2.36E-06	2.360105763	7.124406472	2.072991827	1.238851512	2.832769829	111	342	18	7481	2	0	2	0	0	"ENSFDAG00000003642,ENSFDAG00000007107,ENSFDAG00000007481,ENSFDAG00000010237,ENSFDAG00000011628,ENSFDAG00000014017,ENSFDAG00000014066,ENSFDAG00000014218,ENSFDAG00000014643,ENSFDAG00000014980,ENSFDAG00000015459,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000016821,ENSFDAG00000018555,ENSFDAG00000018746,ENSFDAG00000018795,ENSFDAG00000021370"
immune system development	3.639770495	1.48E-05	2.044742799	6.15273944	1.863847485	1.031919383	2.621228898	111	390	18	7481	2	0	2	0	0	"ENSFDAG00000000040,ENSFDAG00000000809,ENSFDAG00000003642,ENSFDAG00000004439,ENSFDAG00000007563,ENSFDAG00000009315,ENSFDAG00000009611,ENSFDAG00000009629,ENSFDAG00000009919,ENSFDAG00000012093,ENSFDAG00000013023,ENSFDAG00000014643,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000016821,ENSFDAG00000017272,ENSFDAG00000017834,ENSFDAG00000021370"
hematopoietic or lymphoid organ development	3.904422168	6.16E-06	2.19160512	6.605731236	1.965109054	1.131987879	2.723718273	111	366	18	7481	2	0	3	0	0	"ENSFDAG00000000040,ENSFDAG00000000809,ENSFDAG00000003642,ENSFDAG00000004439,ENSFDAG00000007563,ENSFDAG00000009315,ENSFDAG00000009611,ENSFDAG00000009629,ENSFDAG00000009919,ENSFDAG00000012093,ENSFDAG00000013023,ENSFDAG00000014643,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000016821,ENSFDAG00000017272,ENSFDAG00000017834,ENSFDAG00000021370"
hemopoiesis	4.127634712	3.03E-06	2.315618167	6.988521767	2.045315301	1.21139738	2.804987325	111	348	18	7481	2	0	4	1	0	"ENSFDAG00000000040,ENSFDAG00000000809,ENSFDAG00000003642,ENSFDAG00000004439,ENSFDAG00000007563,ENSFDAG00000009315,ENSFDAG00000009611,ENSFDAG00000009629,ENSFDAG00000009919,ENSFDAG00000012093,ENSFDAG00000013023,ENSFDAG00000014643,ENSFDAG00000015517,ENSFDAG00000015535,ENSFDAG00000016821,ENSFDAG00000017272,ENSFDAG00000017834,ENSFDAG00000021370"
regulation of response to external stimulus	4.639877631	4.69E-06	2.462216941	8.191132366	2.214086757	1.299957881	3.034062908	111	255	15	7481	2	0	1	0	1	"ENSFDAG00000003642,ENSFDAG00000006589,ENSFDAG00000007481,ENSFDAG00000010237,ENSFDAG00000011628,ENSFDAG00000012764,ENSFDAG00000014017,ENSFDAG00000014980,ENSFDAG00000015057,ENSFDAG00000015372,ENSFDAG00000015459,ENSFDAG00000015517,ENSFDAG00000017609,ENSFDAG00000018746,ENSFDAG00000018795"
