Table S1. Summary of study animals.																													
Animal ID	Experimental status1	Natal colony	Natal litter reference2	Birthdate	Breeding status at sample collection	Experimental start date	Date of weight at experimenatal start 	Weight in grams at experimental start	Sample collection date	Age in months at experimental start	Months of experimental duration	Sample collection date	Age in years at sample collection	Animal Reference3	Date of weight at sample collection	Weight in grams at sample collection	Days as breeder 	Number litters born	Number offspring born	Lactating at time of sample collection	Total area at femoral midshaft	Cortical area at femoral midshaft 	Marrow area at femoral midshaft	Minimum cortical thickness at femoral midshaft	Imin at femoral midshaft	J at femoral midshaft	LV5 length at experimental start	Date of x-ray at sample collection	LV5 length at sample collection
G10F024	experimental animal	G10	3	11/7/13	queen	12/18/15	12/17/11	130	10/20/17	25.70	22.40	10/20/17	3.95	291	10/19/17	140	672	1	1	1	4.9042	3.0525	1.78	0.257	1.0554	3.7114	5.375	10/13/17	6.001
G10F025	experimental animal	G10	3	11/7/13	solitaire	12/18/15	12/17/11	137	10/21/17	25.70	22.43	10/21/17	3.96	292	10/20/17	172	0	0	0	0	5.7868	3.7409	1.971	0.294	1.5724	5.1537	5.29	10/14/17	5.838
G10F026	non-experimental animal	G10	27	4/3/14	queen	NA	NA	NA	11/24/17	NA	NA	11/24/17	3.65	630	11/23/17	142	159	1	2	1	4.2089	2.772	1.375	0.195	0.8915	2.5084	NA	11/13/17	5.702
GRF001	experimental animal	GR	46	7/23/14	queen	2/24/16	2/15/12	121	11/30/17	19.37	21.50	11/30/17	3.36	795	11/29/17	130	645	4	9	0	3.7114	2.4802	1.17	0.293	0.5879	2.1807	5.335	11/23/17	5.878
GRF002	experimental animal	GR	46	7/23/14	solitaire	2/16/16	2/15/12	99	12/1/17	19.10	21.80	12/1/17	3.36	796	11/29/17	122	0	0	0	0	4.0099	3.3575	0.61	0.42	0.7338	2.8783	5.369	NA	NA
GRF003	experimental animal	GR	80	12/23/14	helper	3/5/16	3/3/12	86	10/16/17	14.60	19.67	10/16/17	2.82	991	10/9/17	118	0	0	0	0	3.2588	2.7363	0.485	0.347	0.4825	1.9069	4.431	10/9/17	5.137
GRF004	experimental animal	GR	80	12/23/14	queen	3/5/16	3/3/12	114	10/15/17	14.60	19.63	10/15/17	2.81	992	10/14/17	120	589	2	2	0	3.6985	3.1149	0.543	0.453	0.6764	2.3702	4.867	10/8/17	5.477
GRF005	experimental animal	GR	80	12/23/14	solitaire	3/5/16	3/3/12	102	10/14/17	14.60	19.60	10/14/17	1.61	993	10/13/17	139	0	0	0	0	NA	NA	NA	NA	NA	NA	5.103	10/11/17	4.955
GRF007	non-experimental animal	GR	106	4/13/15	helper	NA	NA	NA	11/29/17	NA	NA	11/29/17	2.63	1148	11/28/17	122	0	0	0	0	4.2535	3.5155	0.692	0.475	0.9016	3.055	NA	11/22/17	5.4
HEF001	experimental animal	HE	35	5/17/14	queen	2/6/16	2/4/12	119	12/12/17	21.00	22.50	12/12/17	3.58	707	12/11/17	128	675	6	19	1	3.1241	1.9508	1.116	0.159	0.3959	1.5123	NA	12/5/17	5.725
L2F020	experimental animal	L2	56	9/4/14	queen	2/8/16	2/4/12	127	12/2/17	17.40	22.10	12/2/17	3.25	868	12/1/17	138	663	4	10	0	4.5871	2.8411	1.676	0.311	0.8046	3.3778	5.153	11/25/17	5.868
LAF007	experimental animal	LA	171	1/11/16	queen	10/31/17	10/29/13	101	10/11/18	21.97	11.50	10/11/18	2.75	1348	10/10/18	140	345	0	0	0	3.47	3.0777	0.36	0.385	0.5535	2.1583	4.88	10/4/18	5.669
LAF008	experimental animal	LA	171	1/11/16	helper	10/31/17	10/29/13	117	10/10/18	21.97	11.47	10/10/18	2.75	1347	10/10/18	147	0	0	0	0	3.1396	2.9422	0.174	0.501	0.4764	1.8019	5.375	10/3/18	5.833
MAF003	experimental animal	MA	73	10/29/14	solitaire	2/20/16	2/17/12	136	12/5/17	15.97	21.80	12/5/17	3.1	911	12/4/17	157	0	0	0	0	3.8132	3.0886	0.677	0.337	0.5528	2.8951	4.833	11/28/17	5.382
MAF006	experimental animal	MA	73	10/29/14	queen	2/20/16	2/17/12	111	12/4/17	15.97	21.77	12/4/17	3.1	914	12/3/17	116	653	3	9	1	3.2597	1.7594	1.431	0.18	0.3439	1.5994	4.768	11/27/17	5.426
MAF008	non-experimental animal	MA	115	5/26/15	helper	NA	NA	NA	12/3/17	NA	NA	12/3/17	2.53	1179	12/2/17	112	0	0	0	0	3.2079	2.4245	0.737	0.304	0.4398	1.8234	NA	NA	NA
NOF007	experimental animal	NO	79	12/18/14	helper	2/24/16	2/22/12	112	11/28/17	14.43	21.43	11/28/17	2.95	987	11/27/17	175	0	0	0	0	4.9179	4.0763	0.794	0.544	1.1849	4.1663	4.968	11/21/17	5.868
NOF009	experimental animal	NO	79	12/18/14	queen	2/24/16	2/22/12	119	11/27/17	14.43	21.40	11/27/17	2.95	989	11/26/17	133	642	5	6	1	4.4042	3.09	1.256	0.267	0.8596	3.207	4.901	11/20/17	5.768
TIF003	experimental animal	TI	70	10/31/14	queen	7/25/16	7/23/12	115	10/17/17	21.10	14.97	10/17/17	2.96	918	10/16/17	110	449	4	12	0	3.7545	2.2325	1.458	0.182	0.6081	2.0555	5.233	10/10/17	5.976
TIF005	experimental animal	TI	70	10/31/14	solitaire	7/24/16	7/18/12	93	10/18/17	21.07	15.03	10/18/17	2.97	920	10/16/17	115	0	0	0	0	2.762	2.1632	0.558	0.234	0.3456	1.3133	4.475	NA	NA
TIF008	non-experimental animal	TI	137	10/27/15	helper	NA	NA	NA	11/20/17	NA	NA	11/20/17	2.07	1253	11/19/17	132	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	11/13/17	5.14
WAF011	experimental animal	WA	168	1/7/16	helper	10/31/17	10/29/13	100	10/9/18	22.10	11.43	10/9/18	2.76	1340	10/9/18	120	0	0	0	0	3.8288	2.4689	1.3	0.274	0.7688	2.0987	5.3	10/2/18	5.369
WAF014	experimental animal	WA	168	1/7/16	queen	10/31/17	10/29/13	105	10/8/18	22.10	11.40	10/8/18	2.75	1343	10/8/18	133	342	2	3	0	4.8267	2.9519	1.804	0.245	1.0219	3.4211	5.125	NA	NA
WEF001	experimental animal	WE	57	9/18/14	solitaire	1/30/16	1/29/12	143	12/8/17	16.63	22.60	12/8/17	3.22	872	12/2/17	189	0	0	0	0	4.1429	3.5865	0.517	0.427	0.8231	3.0206	5.244	12/2/17	5.7
WEF002	experimental animal	WE	57	9/18/14	helper	1/30/16	1/29/12	160	12/9/17	16.63	22.63	12/9/17	3.23	873	12/7/17	147	0	0	0	0	3.7151	2.4604	1.193	0.315	0.5902	2.1903	5.505	12/1/17	5.712
																													
"1""Experimental"" refers to animals that were randomly assigned to the breeder/non-breeder treatment"																													
2Unique identifier used for each litter at the project facility																													
3Unique identifier used for each animal at the project facility																													
