Input Sample	Baf3	B-cells_marginal_zone	C2C12	common_myeloid_progenitor	dendritic_cells_lymphoid_CD8a+	dendritic_cells_myeloid_CD8a-	dendritic_plasmacytoid_B220+	follicular_B-cells	granulo_mono_progenitor	granulocytes_mac1+gr1+	macrophage_bone_marrow	mast_cells	mast_cells_IgE	mega_erythrocyte_progenitor	NK_cells	osteoblast_day14	osteoblast_day21	osteoblast_day5	osteoclasts	RAW_264_7	T-cells_CD4+	T-cells_CD8+	T-cells_foxP3+	thymocyte_DP_CD4+CD8+	thymocyte_SP_CD4+	thymocyte_SP_CD8+	macrophage_peri_LPS_thio_0hrs	P-value	Pearson Correlation	RMSE	prop_ob	prop_blood	prop_mac
MAF003_lb_null	0	0.027117589	0.063285789	0.156323362	0	0	0	0	0	0.052865028	0.00137421	0	0	0	0	0.159040619	0	0.28094623	0	0	0.007661732	0.09141026	0.030266561	0.037637368	0	0.051100429	0.040970823	0	0.556462316	0.855766349	0.439986849	0.496727362	0.042345033
MAF003_v_null	0.024854521	0.017274298	0.097068263	0	0.081629661	0	0	0	0.054444796	0.007248371	0	0	0.007481885	0	0	0	0.071759494	0.273747423	0	0	0	0.188504503	0.092854785	0.031099832	0	0	0.052032169	0	0.510102205	0.873356435	0.345506917	0.55742482	0.052032169
MAF006_lb_E2	0	0.001823177	0.019887421	0.114528749	0	0.03123531	0	0.036279683	0	0.071785097	0.013841433	0.005624219	0	0	0	0	0.058021872	0.094588397	0.007354082	0.012696701	0	0.26535703	0.042583938	0.01891967	0.172240829	0	0.033232391	0	0.339424598	0.944939164	0.152610269	0.827502311	0.059770525
MAF006_lb_null	0.007422505	0.003354811	0.048256502	0.089253801	0	0.053891639	0	0.026797969	0	0.042305194	0.010892549	0	0.025488981	0	0	0	0.12570998	0.122618504	0	0	0	0.17223098	0.006985218	0.0004	0.197002464	0	0.067347674	0	0.315088861	0.965403831	0.248328483	0.703373785	0.078240224
MAF006_v_E2	0.033241213	0.05001002	0.04938726	0	0	0	0.017005423	0	0.057661503	0.042770194	0.012048962	0	0	0	0.011181337	0	0.141774713	0.177833803	0	0	0	0.288646797	0.037266416	0.020489987	0	0	0.06068237	0	0.448249285	0.905815922	0.319608516	0.631004224	0.072731332
NOF007_lb_E2	0.004620251	0.029909273	0.076401783	0.161532225	0.0005	0.004088371	0.006492739	0	0	0.031502313	0.025530998	0.002950267	0	0	0	0	0.087053563	0.31973291	0	0	0.002311334	0.146783124	0	0.00695945	0	0	0.093610871	0	0.540178291	0.865764268	0.406786473	0.516791216	0.119141869
NOF007_lb_null	0.003450436	0.013272503	0.035466412	0.109589561	0	0.009493942	0.0047661	0.006721668	0	0.029370433	0.008632534	0	0	0	0	0	0.08291761	0.383579981	0	0	0.066297227	0.066880446	0	0	0	0.072550344	0.107010802	0	0.554904939	0.864112356	0.466497592	0.498035996	0.115643336
NOF007_v_E2	0.01282633	0.104827934	0.065799982	0	0.001727179	0	0	0	0.053270318	0	0	0.007850238	0	0	0	0	0.200730453	0.270283585	0	0.007298664	0	0.176982619	0	0.046596678	0	0	0.051806022	0	0.575703848	0.861931702	0.471014038	0.46318598	0.059104685
NOF007_v_null	0.006549629	0	0.10028032	0.040794759	0.010870282	0	0.016041028	0.002526844	0	0.004024845	0.034632261	0.006778661	0	0	0	0	0.207374573	0.260903855	0	0	0.064164377	0.069244657	0.017869551	0	0	0.095592007	0.06235235	0	0.568067712	0.87908626	0.468278428	0.431441252	0.096984611
NOF009_lb_E2	0.003222733	0.040010533	0.043911754	0.057488956	0	0.023474497	0	0	0.034405839	0.035037967	0.023221754	0.00375194	0	0	0	0	0.126532394	0.17941747	0.006503672	0	0	0.285212058	0.01198339	0.039552022	0	0	0.086273022	0	0.45044767	0.902847061	0.305949864	0.650138383	0.109494776
NOF009_lb_null	0.022608654	0.02316078	0.040560718	0.108549245	0	0.038607576	0	0	0	0.042981604	0.001604273	0	0	0	0	0	0.174707446	0.158876996	0.022743605	0	0	0.241115989	0	0.016054276	0.017961246	0	0.090467591	0	0.458704146	0.906328521	0.333584443	0.625854839	0.092071864
WEF001_lb_null	0	0.029726327	0.110182097	0.035683282	0.020617393	0	0	0	0	0.004299496	0.069684279	0.002337252	0	0	0	0.006746987	0.01942884	0.282819219	0	0	0	0.092109314	0.114236878	0	0	0.154672114	0.057456523	0	0.460073707	0.900117634	0.308995047	0.580822857	0.127140802
WEF001_v_E2	0	0.024520355	0.106088167	0.145468596	0.010918069	0	0.009160502	0	0	0.026743799	0.018715972	0	0.002472065	0	0	0	0.032934335	0.264329327	0	0	0.046914187	0.050938092	0.077557239	0	0	0.117879118	0.065360176	0	0.481744369	0.881698067	0.297263661	0.596648171	0.084076147
WEF001_v_null	0	0.039317686	0.165444931	0.047986493	0.067921559	0	0.003209941	0	0	0.011365174	0.078832799	0	0.020166839	0	0	0	0.039672933	0.250703835	0	0	0	0.053939752	0.120797502	0	0	0.058087841	0.042552715	0	0.440963421	0.919896292	0.290376767	0.544178302	0.121385514
WEF002_lb_E2	0.015762152	0	0.053542664	0.084367	0.013107038	0.011202137	0.005535231	0	0	0	0.030701401	0	0.011351268	0	0	0.142924463	0	0.261887252	0	0	0	0.163469947	0.134177516	0.006341695	0	0.016368632	0.049261603	0	0.511316515	0.881050945	0.404811716	0.54164562	0.079963004
WEF002_lb_null	0.022891484	0.015856887	0.072575442	0	0.013457862	0	0.009521335	0	0.039351524	0.033419086	0	0.028869788	0	0	0	0.001882265	0.016213172	0.337627584	0	0.02312552	0.114956023	0.065208553	0	0.032971588	0	0.106923632	0.065148257	0	0.551453569	0.84213903	0.355723021	0.571701536	0.088273777
WEF002_v_null	0.04477645	0.015959172	0.061936395	0.135334162	0.001622918	0	0.004165407	0.02469801	0	0	0.001809995	0	0.002174331	0	0	0.07727242	0	0.278895709	0	0	0.113030834	0.122022943	0	0.096600142	0	0	0.019701113	0	0.532767159	0.850050714	0.356168129	0.581895476	0.021511108
DVF007_lb_null	0.044495693	0	0.046231379	0.036355746	0.001623479	0	0	0.025393188	0	0	0	0	0	0	0	0	0.050437107	0.424293446	0	0	0.233840182	0.041559974	0	0.041801731	0	0.013650855	0.04031722	0	0.566218989	0.848133102	0.474730553	0.479038068	0.04031722
DVF007_v_E2	0.030474923	0	0.133865444	0.010217339	0.027468324	0	0	0.001775602	0.037803691	0	0	0.014892284	0	0	0.009872459	0	0	0.426307144	0	0	0.189383101	0.017150315	0.02799768	0.014197878	0	0.006626991	0.051966826	0	0.605073588	0.817880037	0.426307144	0.439827411	0.051966826
DVF007_v_null	0.018181622	0	0.108164915	0.032250004	0.018575252	0	0	0	0.010826136	0	0.008766258	0.011087489	0	0	0	0.030522056	0	0.397008684	0	0	0.169537503	0.00381378	0.039479411	0	0	0.113464969	0.038321921	0	0.602029865	0.81677021	0.42753074	0.464304346	0.047088179
DVF008_lb_E2	0.040370545	0	0.083895383	0.118680576	0.01609364	0	0	0.011444929	0	0	0.0002	0.004923221	0	0	0	0	0	0.385798518	0	0	0.190147613	0.071542829	0	0.020796548	0	0.022567521	0.033587957	0	0.552087889	0.841005813	0.385798518	0.53035538	0.033787957
DVF008_lb_null	0.035459567	0	0.040902742	0.034331488	0.022490601	0	0	0.01784054	0	0	0	0	0.01379283	0	0	0	0	0.455196919	0	0	0.17798922	0	0	0.0002	0	0.14221441	0.059582855	0	0.575907641	0.834247177	0.455196919	0.503901511	0.059582855
DVF008_v_E2	0.024140258	0	0.063552738	0.023846555	0.020725861	0	0	0	0.022032074	0	0	0	0.003625798	0	0	0	0.01407222	0.487978583	0	0.005306434	0.201955032	0	0	0.00128114	0	0.088210802	0.043272505	0	0.628805351	0.805155658	0.502050803	0.434396459	0.048578939
DVF008_v_null	0.061594132	0	0.140749938	0.005417932	0.026472223	0	0	0	0.011266364	0	0	0.001031264	0	0	0.0007	0	0.050592016	0.344049745	0	0	0.192253135	0.010494803	0.025576175	0	0	0.064287552	0.065512838	0	0.579791145	0.835414054	0.394641761	0.464606416	0.065512838
LAF007_lb_E2	0.004716832	0.05039277	0.018152642	0.027049587	0.007491514	0	0.011402272	0	0.012228574	0	0	0	0	0	0	0	0.067013754	0.418503141	0	0	0.136765111	0.078136127	0	0.021506186	0	0.045378007	0.101263483	0	0.576533554	0.847250315	0.485516895	0.496330463	0.101263483
LAF007_lb_null	0.044228009	0.039544287	0.070064586	0	0	0.004967655	0	0	0.019926137	0	0	0	0	0	0	0	0.077278032	0.34653659	0	0	0.061569476	0.068359325	0.019493797	0	0	0.169034528	0.078997578	0	0.533941659	0.868881641	0.423814622	0.506120792	0.078997578
LAF007_vert_null	0.035049944	0.029875076	0.10634725	0	0.024544997	0	0	0	0.028740075	0	0.009750321	0	0.002688149	0	0	0	0.062867365	0.304695646	0	0	0.114160072	0.070217768	0.015028791	0.028794558	0	0.090777998	0.076461989	0	0.547669357	0.851050917	0.36756301	0.52608974	0.08621231
LAF008_lb_null	0.034752153	0	0.074777445	0.050956107	0	0.0028675	0	0.014667711	0	0	0	0	0	0	0	0.015612702	0	0.397282062	0	0	0.140542199	0.039157672	0	0.045149945	0	0.103140494	0.08109401	0	0.565325389	0.838159433	0.412894763	0.512327791	0.08109401
LAF008_vert_null	0.037318408	0	0.117302925	0.010175037	0.020819206	0	0	0	0.007808477	0	0.008573044	0.001675792	0	0	0.004875905	0	0.020073672	0.426590059	0	0.001514555	0.09073778	0.042030207	0.051363537	0.006434323	0	0.082558091	0.070148981	0	0.603581151	0.825269876	0.44666373	0.436033344	0.08023658
WAF011_lb_E2	0.017930949	0	0.04535047	0.001	0.015257235	0	0.010102436	0	0.003443031	0	0.00353098	0	0.013851363	0	0	0	0	0.442468727	0	0	0.167022484	0	0	0	0	0.211413285	0.068637625	0	0.557859459	0.84686665	0.442468727	0.512189387	0.072168605
WAF011_lb_null	0.041486094	0.050679507	0.082415724	0.067570834	0	0.031935229	0	0	0	0.008328724	0	0	0	0	0.005689222	0	0.063482634	0.302604759	0	0.037171983	0.05512845	0.092517047	0	0.081341477	0	0.036925667	0.042722649	0	0.52212741	0.863710636	0.366087393	0.551496883	0.079894632
WAF011_v_E2	0.041611711	0	0.141578614	0	0.014308145	0	0	0	0.045636047	0	0.002273435	0	0	0	0.004009468	0	0.048713129	0.321256902	0	0	0.178477452	0	0.027299651	0	0	0.102420644	0.072414802	0	0.558043572	0.846220108	0.369970031	0.488451355	0.074688237
WAF011_v_null	0.013251047	0	0.090754581	0.048274354	0.011891262	0	0	0	0	0	0	0	0	0	0	0	0.081038151	0.369079162	0	0	0.196025668	0	0	0	0	0.122044416	0.067641358	0	0.59255151	0.832456131	0.450117313	0.459128107	0.067641358
WAF014_lb_E2	0.012928355	0.018933312	0.050807899	0.062518071	0	0	0	0	0	0	0.019841405	0	0	0	0	0	0.055553038	0.401241573	0.024429566	0	0.112276319	0.027851044	0	0	0	0.117104221	0.096515199	0	0.548657846	0.867077037	0.456794611	0.49239749	0.116356604
WAF014_lb_null	0.026051015	0.054989096	0.023929085	0	0	0.055306802	0	0	0.083190725	0	0	0	0	0.032183836	0	0	0.138822064	0.26118914	0	0.005049471	0.03740249	0.130775871	0	0.079137535	0	0	0.071972868	0	0.522917174	0.869353568	0.400011204	0.576059711	0.077022339
WAF014_v_E2	0.04485816	0.050929303	0.069092279	0	0	0.018956551	0.008639324	0	0.072270866	0	0	0	0	0	0	0	0.154630546	0.183268451	0	0.001745819	0.078010567	0.15043906	0	0.086352423	0	0	0.080806651	0	0.506254765	0.874583474	0.337898997	0.593008725	0.082552469
WAF014_v_null	0.04290377	0.071061014	0.043544171	0	0	0.017041163	0.011896123	0	0.082309223	0	0	0	0	0.019617629	0	0	0.193546523	0.198499121	0	0.012861534	0.105740375	0.080515469	0	0.05618021	0	0.0009	0.06335634	0	0.558621728	0.848870822	0.392045644	0.564382849	0.076217874
