Row.names	beta_.Intercept.	beta_bone1	beta_daysinculture	beta_bone0.queen1	beta_bone1.queen1	beta_bone0.treatmentE2	beta_bone1.treatmentE2	se_.Intercept.	se_bone1	se_daysinculture	se_bone0.queen1	se_bone1.queen1	se_bone0.treatmentE2	se_bone1.treatmentE2	p_val_.Intercept.	p_val_bone1	p_val_daysinculture	p_val_bone0.queen1	p_val_bone1.queen1	p_val_bone0.treatmentE2	p_val_bone1.treatmentE2	fdr_Queen_at_lb	fdr_Queen_at_vert	Gene	Genename	highlight
ENSFDAG00000005587	-0.952601858	0.933625497	0.046809098	1.198419907	0.290568654	-0.166692917	-0.293112218	0.281170102	0.048169431	0.003259896	0.064949661	0.081518862	0.047089251	0.06164873	0.072415274	2.10E-05	0.41230805	2.57E-06	0.30882062	0.442387335	0.237795076	0.052178855	0.999843736	ENSFDAG00000005587_UGT1A6	UGT1A6	0
ENSFDAG00000005603	-0.407128454	0.095396614	0.018312367	1.374502631	0.731249314	0.007423381	-0.185373325	0.384518754	0.026457428	0.004794732	0.070336673	0.080118994	0.026504029	0.034781116	0.511465555	0.557547604	0.791424395	2.19E-07	0.009782158	0.963630661	0.320235018	0.052178855	0.674587629	ENSFDAG00000005603_MR1	MR1	0
ENSFDAG00000005646	-0.96605021	-0.290795775	0.07091975	2.821458241	2.184366135	0.044285896	-0.048150428	1.163879307	0.074754362	0.014553502	0.210550962	0.238128122	0.074974562	0.098368149	0.370541751	0.287519384	0.556617608	7.80E-10	7.59E-06	0.871513234	0.877986006	0.052178855	0.25	ENSFDAG00000005646_HCK	HCK	0
ENSFDAG00000005799	0.200402457	0.209074816	-0.083815259	2.646226775	1.336488355	-0.178957889	0.474971948	1.221896035	0.091977806	0.015175174	0.227048416	0.261100498	0.091985506	0.120742624	0.856136002	0.490582648	0.496259205	2.80E-08	0.008908654	0.555155005	0.171655751	0.052178855	0.640529101	ENSFDAG00000005799_ENSFDAG00000005799	ENSFDAG00000005799	0
ENSFDAG00000006023	0.130555604	-0.21488818	-0.048260279	2.093878727	1.576218899	0.035418522	0.047732072	1.051168783	0.080573934	0.013043515	0.195978579	0.225810003	0.080551906	0.105739547	0.898672592	0.449029641	0.672613386	2.25E-06	0.000909909	0.900686908	0.883299087	0.052178855	0.414339623	ENSFDAG00000006023_ENSFDAG00000006023	ENSFDAG00000006023	0
ENSFDAG00000006280	-0.701291323	-0.051202243	0.037264107	1.593636493	1.288852455	0.092146837	0.278286218	0.476835578	0.064142571	0.005684647	0.101817909	0.124768873	0.063208194	0.082952908	0.309829433	0.839784155	0.621135829	5.90E-07	0.000263468	0.71397957	0.333934254	0.052178855	0.368571429	ENSFDAG00000006280_HYAL1	HYAL1	0
ENSFDAG00000006589	-0.584697047	-0.035955827	0.029858651	2.98935017	2.136079053	-0.402465	-0.318556694	1.997743147	0.133748572	0.024939095	0.363788432	0.413202602	0.13404847	0.175896781	0.679110882	0.921681282	0.850035493	7.19E-07	0.000890416	0.271658247	0.447522129	0.052178855	0.414339623	ENSFDAG00000006589_ENSFDAG00000006589	ENSFDAG00000006589	0
ENSFDAG00000007481	-0.443167755	0.039238667	-0.00712432	2.382723043	1.899830458	0.288923811	0.095886792	1.525121765	0.09663744	0.019080557	0.27532562	0.310954944	0.096943659	0.127186646	0.719705487	0.899554705	0.958866522	5.60E-06	0.000656925	0.353434555	0.788031779	0.052178855	0.391333333	ENSFDAG00000007481_ARG1	ARG1	0
ENSFDAG00000007636	-0.729159113	0.22664493	0.030897611	2.551009492	1.954328397	0.212852656	-0.157996899	1.705991122	0.083087757	0.021528641	0.297464508	0.327476134	0.08365917	0.109663757	0.576669125	0.431703188	0.833215221	2.91E-06	0.000637507	0.461787954	0.63328498	0.052178855	0.391333333	ENSFDAG00000007636_RGS1	RGS1	0
ENSFDAG00000008870	-0.073181848	-0.592873841	-0.008996922	2.517223189	2.363421413	0.103585214	-0.216368722	1.83691601	0.087554267	0.023194752	0.319531762	0.351076882	0.088178667	0.115579921	0.956938635	0.045106691	0.952892875	8.46E-06	6.64E-05	0.727215629	0.524493672	0.052178855	0.329545455	ENSFDAG00000008870_CHI3L1	CHI3L1	0
ENSFDAG00000009790	0.268587664	-0.14922291	-0.052869287	1.170563212	0.498421174	0.087341448	0.003037947	0.348388543	0.042021108	0.004195827	0.072090639	0.08730997	0.041545567	0.054548429	0.649077028	0.466643984	0.414387846	1.30E-05	0.091641089	0.668281952	0.989621924	0.052178855	0.999843736	ENSFDAG00000009790_CTSA	CTSA	0
ENSFDAG00000010218	-0.613777956	0.044441452	0.045814225	1.200582722	0.629441319	-0.036453406	0.041706163	0.302863791	0.024560669	0.003747484	0.05707722	0.066167504	0.024525695	0.032198956	0.264726388	0.776735995	0.454222397	5.03E-07	0.014405331	0.815939825	0.816209387	0.052178855	0.780218341	ENSFDAG00000010218_GPR137B	GPR137B	0
ENSFDAG00000010237	-0.55398871	-1.555235973	0.088460528	2.109276698	1.620957625	-0.290640902	0.761240077	1.064723852	0.159518833	0.012548381	0.2350992	0.291320175	0.156651958	0.205421922	0.591346069	9.86E-05	0.429709859	1.36E-05	0.002671439	0.462750164	0.093040902	0.052178855	0.4767	ENSFDAG00000010237_RAC2	RAC2	0
ENSFDAG00000010815	-0.824552087	-0.173771315	0.048804238	2.420287635	1.799962899	0.011066	0.247464452	0.959417836	0.095081396	0.011730649	0.188802438	0.22375822	0.094508138	0.124112727	0.399894183	0.573062315	0.652273884	2.55E-08	0.000141707	0.971285429	0.482409417	0.052178855	0.329545455	ENSFDAG00000010815_BCL2A1	BCL2A1	0
ENSFDAG00000010933	0.897694448	-0.087348819	-0.081237304	-1.571366006	1.122033559	-0.010411892	-0.12883404	0.440457215	0.102059662	0.004885604	0.114052978	0.145927019	0.09870976	0.128272876	0.176176194	0.784530527	0.245137381	3.27E-06	0.003311581	0.973563121	0.719057385	0.052178855	0.500530973	ENSFDAG00000010933_ANGPTL1	ANGPTL1	0
ENSFDAG00000011126	-0.312337865	-0.274694688	0.000935917	2.211801576	1.700725143	0.11821302	0.115974146	1.12591035	0.074940495	0.014058799	0.204834358	0.232516405	0.075116093	0.098564679	0.768485969	0.315647974	0.99370206	1.02E-06	0.000420273	0.666236272	0.711827293	0.052178855	0.368571429	ENSFDAG00000011126_ENSFDAG00000011126	ENSFDAG00000011126	0
ENSFDAG00000011269	0.19291031	-0.315875005	-0.074743871	2.26597737	1.350323257	0.450866692	0.318080496	1.168337065	0.104439229	0.014378484	0.224637859	0.263207992	0.104067393	0.136651992	0.858351899	0.328358802	0.533066736	1.74E-06	0.008488034	0.162225557	0.389537303	0.052178855	0.630706522	ENSFDAG00000011269_SRGAP3	SRGAP3	0
ENSFDAG00000011302	-0.586012092	0.138116373	0.027434048	1.498665199	1.011549786	0.013266765	0.006453612	0.422733	0.04283096	0.005160865	0.083627416	0.099353921	0.042548863	0.055877641	0.367424278	0.504536233	0.702549241	2.19E-07	0.001331118	0.948718376	0.978219394	0.052178855	0.44546875	ENSFDAG00000011302_ENSFDAG00000011302	ENSFDAG00000011302	0
ENSFDAG00000011667	-0.305030155	0.115655097	0.022900293	0.400819924	0.06983305	-0.003883585	-0.119174472	0.033597647	0.007143141	0.000377654	0.008407691	0.010721786	0.006929811	0.009030118	0.096085613	0.171179913	0.238635641	1.24E-05	0.500047289	0.962790425	0.209801097	0.052178855	0.999843736	ENSFDAG00000011667_PON3	PON3	0
ENSFDAG00000011719	-0.749476255	0.012046381	0.03684035	1.88014067	1.626079228	0.211825788	0.290068269	0.8816399	0.059586474	0.011001789	0.160794061	0.182814874	0.059710269	0.07835333	0.424753865	0.960640771	0.725415508	2.75E-06	0.000142906	0.386012867	0.300077792	0.052178855	0.329545455	ENSFDAG00000011719_CD86	CD86	0
ENSFDAG00000012037	-0.636799492	-0.064966974	0.043828498	1.538904058	1.213079827	-0.197856954	0.205097009	0.60313377	0.074796413	0.00724601	0.125775889	0.152789707	0.073889567	0.097006811	0.412235446	0.812231315	0.606635961	1.43E-05	0.001912897	0.466687075	0.510214528	0.052178855	0.4767	ENSFDAG00000012037_LPCAT2	LPCAT2	0
ENSFDAG00000012068	-0.894056332	-0.440087182	0.074137578	2.170971875	1.719034473	0.047022479	0.31684816	1.352300046	0.096995451	0.016832014	0.249123706	0.285016429	0.097092859	0.127429847	0.441996307	0.157635754	0.567701671	1.36E-05	0.001282113	0.880048396	0.374757807	0.052178855	0.44546875	ENSFDAG00000012068_IGSF6	IGSF6	0
ENSFDAG00000012093	-0.109384665	-0.772411036	-0.007800537	2.134932465	1.307613763	0.188648614	0.210431006	1.136824719	0.13432267	0.01371563	0.233913801	0.282659214	0.132881785	0.174480419	0.918287507	0.035071644	0.946894967	1.01E-05	0.013912832	0.604798405	0.614419683	0.052178855	0.762061404	ENSFDAG00000012093_IRF8	IRF8	0
ENSFDAG00000012430	-0.006759353	-0.102095295	-0.022043258	1.418697435	0.982349814	-0.034390416	0.026768454	0.542613038	0.021817876	0.006880934	0.092849084	0.100515579	0.0220119	0.028836286	0.992678602	0.489444102	0.790441731	3.23E-06	0.001945124	0.816695334	0.874744146	0.052178855	0.4767	ENSFDAG00000012430_LIPA	LIPA	0
ENSFDAG00000012514	0.092929834	-0.041134066	-0.023216106	0.799143997	0.421138672	-0.017573274	-0.085840667	0.177376244	0.008020421	0.002242885	0.030684512	0.033554733	0.008082362	0.010592114	0.82536358	0.646013734	0.623982362	5.06E-06	0.021502156	0.845023817	0.404242333	0.052178855	0.862363014	ENSFDAG00000012514_PRCP	PRCP	0
ENSFDAG00000012912	-0.806104777	0.152263747	0.070085658	1.036519083	0.578780913	-0.023559323	-0.20716048	0.243865686	0.020284304	0.003013422	0.046190888	0.053695623	0.020244502	0.026579783	0.10260351	0.285026685	0.201697438	1.42E-06	0.012499284	0.868487074	0.203847724	0.052178855	0.728371041	ENSFDAG00000012912_HEXB	HEXB	0
ENSFDAG00000013012	-1.191602843	-0.382500094	0.105725489	2.283188866	2.005165228	0.012503907	0.582584162	1.167820034	0.05956823	0.014717569	0.204714733	0.226337962	0.059943981	0.078588893	0.270172693	0.117068139	0.383487487	4.51E-07	2.50E-05	0.959269077	0.037695019	0.052178855	0.329545455	ENSFDAG00000013012_ATP8B4	ATP8B4	0
ENSFDAG00000013662	-0.164775014	-0.266186211	0.005435544	1.101562029	0.64935911	0.128178266	0.093599562	0.241074055	0.020612449	0.002974432	0.045919326	0.053541178	0.020559652	0.026995035	0.737175923	0.063732425	0.920610595	2.74E-07	0.00501071	0.371356037	0.568893964	0.052178855	0.550583942	ENSFDAG00000013662_MCM3AP	MCM3AP	0
ENSFDAG00000014017	0.013715353	0.048180851	-0.025498138	1.050631302	0.54403171	0.018380128	-0.00627179	0.214190173	0.016930664	0.00265376	0.040165895	0.046433668	0.016915536	0.022206516	0.976358028	0.711169292	0.62062232	1.59E-07	0.011580104	0.887616632	0.966429086	0.052178855	0.724202899	ENSFDAG00000014017_LGMN	LGMN	0
ENSFDAG00000014066	-0.009298249	-0.245623239	-0.041065201	2.434452633	1.02887533	0.020550271	0.258582256	1.675302465	0.088504429	0.021090799	0.294927501	0.327162635	0.089022477	0.116725424	0.994268202	0.409012406	0.777356093	7.37E-06	0.072051617	0.945088347	0.449133287	0.052178855	0.999843736	ENSFDAG00000014066_LPXN	LPXN	0
ENSFDAG00000014218	0.257185191	-0.146422929	-0.08512294	2.699644507	1.702378632	0.045932412	0.037760085	1.990499059	0.123117563	0.024925474	0.358031833	0.403372481	0.123555599	0.162088182	0.855354446	0.676458497	0.589770258	6.43E-06	0.00735296	0.896033474	0.925275846	0.052178855	0.61742515	ENSFDAG00000014218_C1QB	C1QB	0
ENSFDAG00000014512	0.123111528	-0.207958969	-0.023482165	0.965111156	0.814992823	-0.025891653	-0.221370429	0.25959834	0.017439333	0.003240279	0.04729894	0.053742674	0.017477406	0.022933877	0.809068205	0.115313237	0.679956965	9.10E-06	0.000438833	0.844728378	0.143802564	0.052178855	0.37	ENSFDAG00000014512_QPCT	QPCT	0
ENSFDAG00000014736	-0.065527569	-0.032612402	-0.000318286	0.536511596	0.015765095	-0.016506497	0.01461716	0.056048283	0.007472037	0.000668781	0.011935837	0.014612397	0.007365249	0.009666457	0.781945029	0.705965868	0.990180147	9.07E-07	0.896236125	0.847478812	0.881812415	0.052178855	0.999843736	ENSFDAG00000014736_CDC42SE2	CDC42SE2	0
ENSFDAG00000015054	-0.423568256	-0.172199101	0.060953807	-0.742336528	0.225474944	0.122485136	0.255853597	0.108879482	0.025228791	0.001207704	0.028193497	0.036072648	0.024400707	0.031708606	0.19926056	0.278305729	0.079436764	9.82E-06	0.235164495	0.432970072	0.150768593	0.052178855	0.999843736	ENSFDAG00000015054_WNT5B	WNT5B	0
ENSFDAG00000015307	-1.752421037	-0.17742408	0.162131726	2.224042166	1.614292203	-0.045905832	0.045775549	1.213051894	0.048166791	0.015387257	0.207352322	0.2242397	0.048600603	0.063665829	0.111586007	0.418847069	0.191200636	1.04E-06	0.000652036	0.835047988	0.856039494	0.052178855	0.391333333	ENSFDAG00000015307_LRRC39	LRRC39	0
ENSFDAG00000015372	-0.552840047	-0.676930651	0.015256569	2.911709493	2.115300907	0.335674808	0.417445806	2.027002615	0.221110144	0.024613428	0.408387647	0.489170583	0.219226957	0.287893914	0.697790762	0.149982469	0.922531202	5.21E-06	0.00249111	0.473422365	0.436564511	0.052178855	0.4767	ENSFDAG00000015372_ACP5	ACP5	1
ENSFDAG00000015535	-0.362372253	-0.084108029	0.02620084	1.011796358	0.722926667	0.084107678	-0.000440656	0.281478957	0.008343047	0.003591369	0.047224124	0.049951404	0.008435293	0.011040571	0.494595647	0.357143992	0.661962638	3.22E-06	0.001218138	0.35978849	0.996653871	0.052178855	0.44546875	ENSFDAG00000015535_TFRC	TFRC	0
ENSFDAG00000015639	-0.025737507	-0.295560434	0.006690452	0.524021657	0.26430444	0.009961543	-0.138189992	0.052682873	0.010955699	0.000594184	0.013070979	0.01664835	0.010636898	0.013869349	0.910718298	0.004746539	0.783723339	4.57E-06	0.04051893	0.923054306	0.240632759	0.052178855	0.999843736	ENSFDAG00000015639_ENSFDAG00000015639	ENSFDAG00000015639	0
ENSFDAG00000015727	-0.141451103	0.170095016	-0.037560461	2.003003636	1.333584292	0.064359557	0.009845097	1.059189872	0.071250326	0.013219962	0.193027253	0.219354915	0.071404206	0.093697083	0.890681444	0.523973179	0.743913764	5.14E-06	0.004407948	0.809669443	0.974342037	0.052178855	0.547734375	ENSFDAG00000015727_ENSFDAG00000015727	ENSFDAG00000015727	0
ENSFDAG00000015868	-0.20316385	-0.169397936	-0.001078229	1.340424571	0.949608269	0.127891618	0.046627674	0.478439316	0.039730551	0.005912543	0.090591908	0.105291733	0.039653989	0.052063065	0.768972137	0.395404636	0.988812068	8.45E-06	0.003428082	0.520716126	0.838078439	0.052178855	0.500530973	ENSFDAG00000015868_ATF3	ATF3	0
ENSFDAG00000015906	-0.024265151	-0.007173312	-0.014801704	1.007028605	0.429356349	0.011216676	-0.148458003	0.203464605	0.012744594	0.002546627	0.036666582	0.041362925	0.012787362	0.016775956	0.957098823	0.949335403	0.769284094	1.45E-07	0.034762271	0.920986363	0.251712875	0.052178855	0.953135802	ENSFDAG00000015906_ENSFDAG00000015906	ENSFDAG00000015906	0
ENSFDAG00000016112	-0.631217697	-0.562924097	0.0657538	1.60182737	1.350397276	-0.043254781	0.139028279	0.671912262	0.019844761	0.008573416	0.112709667	0.119189668	0.02006454	0.026261306	0.441266071	6.44E-05	0.477617383	1.83E-06	9.17E-05	0.760088041	0.390938611	0.052178855	0.329545455	ENSFDAG00000016112_LCP1	LCP1	0
ENSFDAG00000016403	-0.071974027	-0.104993431	-0.029480232	2.186114423	1.65945968	0.045563457	-0.177200901	1.088480878	0.106490503	0.013320174	0.213555096	0.252732305	0.105882557	0.139049222	0.945000202	0.747648757	0.798389164	2.24E-06	0.000963649	0.888640526	0.634640363	0.052178855	0.419814815	ENSFDAG00000016403_P2RY6	P2RY6	0
ENSFDAG00000016970	-0.829010647	0.165554056	0.032042425	2.207674177	1.696710701	0.056939049	0.601334971	1.327340608	0.120934969	0.01631671	0.256266214	0.300898645	0.120451197	0.158170097	0.471794004	0.634029928	0.801932322	1.29E-05	0.001980597	0.869683333	0.130531666	0.052178855	0.4767	ENSFDAG00000016970_MRC1	MRC1	0
ENSFDAG00000017324	-0.466782687	-0.567970954	0.044451663	1.770306252	1.189741091	-0.009152629	0.227624231	0.79051264	0.045234485	0.009926318	0.140619981	0.157201176	0.045449041	0.059607989	0.599582328	0.007574015	0.65547924	2.35E-06	0.002693476	0.965755552	0.35116978	0.052178855	0.4767	ENSFDAG00000017324_CD53	CD53	0
ENSFDAG00000018002	-1.449650144	1.17290677	0.066265883	2.123585778	1.117891926	-0.251106697	0.267984614	1.132560636	0.088705866	0.014038582	0.212011366	0.244852113	0.088643187	0.116367147	0.173143093	8.21E-05	0.575971456	3.99E-06	0.023873143	0.399002582	0.432109082	0.052178855	0.89	ENSFDAG00000018002_ENSFDAG00000018002	ENSFDAG00000018002	0
ENSFDAG00000018894	-0.053533041	-0.10615494	0.003151053	0.483162999	0.306213837	-0.052605564	-0.075908727	0.056497808	0.007133001	0.000677654	0.01184197	0.014413237	0.007042755	0.009245548	0.821808468	0.208786355	0.903654339	9.00E-06	0.01075346	0.530760618	0.42984826	0.052178855	0.697142857	ENSFDAG00000018894_SH3KBP1	SH3KBP1	0
ENSFDAG00000018950	-0.07269474	0.33453091	-0.04841793	2.36687422	1.28967289	0.331048869	-0.543242436	1.367313426	0.082132239	0.017140096	0.244886256	0.275085663	0.082462082	0.108168918	0.950428812	0.243092564	0.711510775	1.73E-06	0.013935305	0.248980507	0.098586976	0.052178855	0.762061404	ENSFDAG00000018950_KCNE2	KCNE2	0
ENSFDAG00000019382	-0.375819408	-0.487716037	0.020898891	1.911564116	1.524381787	-0.060221516	0.040787698	0.931413103	0.049648284	0.011722536	0.16415327	0.182250729	0.049932972	0.065473571	0.696972257	0.028608143	0.846939779	2.38E-06	0.000355964	0.787545322	0.873351463	0.052178855	0.368571429	ENSFDAG00000019382_FMO5	FMO5	0
ENSFDAG00000020000	-0.037685613	0.098251717	-0.060630055	2.622996655	1.689450097	0.001866237	0.028257946	2.112298939	0.086515875	0.026774809	0.362020252	0.392517594	0.087270463	0.114333701	0.979313391	0.738352989	0.710986745	1.30E-05	0.007005231	0.994959538	0.933397852	0.052178855	0.614259259	ENSFDAG00000020000_MSR1	MSR1	0
ENSFDAG00000020792	0.143857927	-0.538902019	-0.019572382	1.641070472	1.078970874	-0.02152422	0.154125345	0.724207746	0.051342386	0.009018832	0.133146005	0.152141348	0.051405024	0.067464455	0.865761281	0.017391338	0.836716304	6.88E-06	0.005671096	0.924366753	0.552923534	0.052178855	0.56781457	ENSFDAG00000020792_EGR2	EGR2	0
ENSFDAG00000021218	-0.329790978	0.006997694	0.032258034	0.485280438	0.134416982	-0.087942749	0.007262916	0.036943518	0.003268707	0.00045493	0.007087599	0.008295148	0.003257834	0.004277827	0.086196495	0.902585465	0.13043314	8.20E-09	0.139984311	0.12337471	0.911580575	0.052178855	0.999843736	ENSFDAG00000021218_GNS	GNS	0
ENSFDAG00000021474	-0.973166455	-0.176739112	0.07278819	2.238491581	1.869245754	0.156999637	-0.094913711	1.516844378	0.077528433	0.019115033	0.265961616	0.294110119	0.078015479	0.102282015	0.429432658	0.525591996	0.598561891	1.42E-05	0.000567346	0.574052586	0.766637249	0.052178855	0.391333333	ENSFDAG00000021474_CLEC12A	CLEC12A	0
ENSFDAG00000022303	-0.73979888	0.197775599	0.0404903	1.581910999	1.036031813	-0.029912264	0.050081815	0.459740243	0.041864403	0.005651674	0.088750262	0.104201108	0.041697466	0.054754851	0.275236783	0.333740174	0.590166221	1.10E-07	0.001329676	0.883538186	0.830525926	0.052178855	0.44546875	ENSFDAG00000022303_ENSFDAG00000022303	ENSFDAG00000022303	0
ENSFDAG00000032055	-0.992502805	-0.045881438	0.061439334	2.322770986	1.404050747	-0.022340564	0.886312818	0.793274131	0.09123691	0.009592262	0.162044828	0.195235179	0.090327499	0.118611398	0.265130738	0.879267475	0.530452486	7.92E-09	0.001484825	0.940745082	0.010067626	0.052178855	0.474923077	ENSFDAG00000032055_ENSFDAG00000032055	ENSFDAG00000032055	0
ENSFDAG00000007619	-2.266642249	-0.857737035	0.253163196	2.560605504	2.355659052	-0.000742575	0.260074998	2.094767429	0.031459042	0.027000827	0.35098089	0.357866116	0.031832402	0.04159728	0.117328936	1.33E-06	0.123395041	1.55E-05	8.22E-05	0.996679189	0.202251103	0.052957374	0.329545455	ENSFDAG00000007619_MS4A2	MS4A2	0
ENSFDAG00000017875	-0.333731391	0.127235874	0.009346743	1.12542241	0.614914564	0.075468892	-0.029183376	0.337498658	0.037437604	0.00409286	0.068290593	0.081950761	0.037101772	0.048722029	0.565655453	0.510801277	0.883843333	1.66E-05	0.031712181	0.695201849	0.894816135	0.05435669	0.922230769	ENSFDAG00000017875_ENSFDAG00000017875	ENSFDAG00000017875	0
ENSFDAG00000008459	0.207273836	-0.377785618	-0.053241982	2.611498738	1.916505181	-0.212894395	-0.266921782	2.161494138	0.089540092	0.027391074	0.370821824	0.402445082	0.090311446	0.118321952	0.887883191	0.206763423	0.747680749	1.80E-05	0.002519069	0.478682435	0.437759923	0.05533411	0.4767	ENSFDAG00000008459_ENSFDAG00000008459	ENSFDAG00000008459	0
ENSFDAG00000006702	-0.239539517	0.582902621	0.010046427	-0.743050895	0.303004228	-0.138002308	0.072205905	0.129085007	0.023061805	0.001488249	0.030264817	0.038124796	0.022511692	0.029451782	0.504955136	0.000123843	0.794540024	1.94E-05	0.120702237	0.357689599	0.673942738	0.056399465	0.999843736	ENSFDAG00000006702_CDO1	CDO1	0
ENSFDAG00000009249	-0.288466914	-0.636517169	0.021848295	1.654458168	1.204551948	0.163834956	0.160212663	0.85380613	0.046206975	0.010740675	0.150764827	0.167629969	0.046462462	0.060925978	0.754897559	0.003065201	0.833031537	2.04E-05	0.003260498	0.447210787	0.516289222	0.056399465	0.500530973	ENSFDAG00000009249_GSDMA	GSDMA	0
ENSFDAG00000016194	-0.111387574	-0.315013669	-0.012660061	2.170792577	1.592600022	0.009488871	-0.260020416	1.389730883	0.105739162	0.017250754	0.258744122	0.297892288	0.105725763	0.138782336	0.924722425	0.332670216	0.923210874	1.98E-05	0.003523466	0.976718952	0.485192342	0.056399465	0.501565217	ENSFDAG00000016194_ENSFDAG00000016194	ENSFDAG00000016194	0
ENSFDAG00000008936	-2.395706423	1.004342108	0.173289775	2.666484049	2.100064596	0.356342355	0.507296126	2.18881499	0.138893939	0.027382389	0.395228369	0.446440561	0.139330747	0.182797842	0.105381324	0.007041321	0.294998857	2.22E-05	0.001671992	0.339754961	0.235415983	0.056864022	0.4767	ENSFDAG00000008936_ADAMDEC1	ADAMDEC1	0
ENSFDAG00000010928	-0.185217302	-0.334825257	0.013560905	1.010513964	1.193619508	-0.017030479	-0.130458567	0.285425019	0.029543057	0.003479325	0.056756991	0.067590188	0.029332314	0.038520919	0.72882769	0.051414136	0.818168563	2.22E-05	4.41E-06	0.920790272	0.50624376	0.056864022	0.25	ENSFDAG00000010928_STX1B	STX1B	0
ENSFDAG00000015214	0.091423068	0.125808951	-0.00428932	-0.58420941	-0.266687588	0.017062741	0.068680959	0.081185033	0.014583736	0.0009353	0.019071768	0.024035922	0.014233126	0.018619229	0.748315241	0.297512438	0.88845991	2.33E-05	0.085400798	0.8862739	0.61473009	0.057418869	0.999843736	ENSFDAG00000015214_ENSFDAG00000015214	ENSFDAG00000015214	0
